regime,S,m,c_x,t,x,u,x_dot,u_dot,x_accel,u_accel,D_x_cumulative,F_x,F_u
fragile-fast,0.15,1.6,0.7,4.5600000000000005,8.104697244278156e-09,0.05078349271139626,4.183686415659608e-08,0.07737955166989832,2.624368811271774e-07,0.10625046558448221,1.5373090796011475e-09,4.5728951195737933e-07,0.1970835920719846
fragile-fast,0.15,1.6,0.7,4.6000000000000005,1.0198070820345482e-08,0.054048675523127365,5.2334339401683177e-08,0.08162957029327761,3.257282555775093e-07,0.11073577977105076,1.945231912414967e-09,5.679973173255386e-07,0.2057476023353638
fragile-fast,0.15,1.6,0.7,4.64,1.2812609605336825e-08,0.05749103558249215,6.536346962478355e-08,0.08605900148411964,4.0363253420009793e-07,0.11532446750486483,2.45773629662844e-09,7.043790930628421e-07,0.2146398049335304
fragile-fast,0.15,1.6,0.7,4.68,1.6072960445048324e-08,0.06111791478986472,8.150877099278747e-08,0.09067198018431424,4.993636799481861e-07,0.12001371601417582,3.100654714430373e-09,8.721109880570975e-07,0.22375714672367153
fragile-fast,0.15,1.6,0.7,4.72,2.013229317267692e-08,0.06493681594285997,1.0148331819071492e-07,0.09547252882488128,6.168047109589546e-07,0.12480034893796857,3.905946441337449e-09,1.0780581534405048e-06,0.23309595345560474
fragile-fast,0.15,1.6,0.7,4.76,2.5178513437839844e-08,0.06895539765415597,1.261555066290731e-07,0.10046454278240002,7.606383876672911e-07,0.1296808196862046,4.9130869788510435e-09,1.3305087883458568e-06,0.2426519140610241
fragile-fast,0.15,1.6,0.7,4.8,3.1441755123270435e-08,0.0731814686769499,1.5658104213576473e-07,0.10565177556984821,9.365015588075923e-07,0.134651205888221,6.170757183781861e-09,1.6394509787104533e-06,0.25242006659147803
fragile-fast,0.15,1.6,0.7,4.84,3.920339930279317e-08,0.07762298162916498,1.9404110448806842e-07,0.11103782380537705,1.1511670613857167e-06,0.13970720500092723,7.738893155893588e-09,2.016899470661588e-06,0.2623947859350652
fragile-fast,0.15,1.6,0.7,4.88,4.880691078053305e-08,0.08228802610938155,2.4008778694349707e-07,0.11662611200541415,1.4127576341446956e-06,0.14484413114551348,9.69116958711491e-09,2.477280576272494e-06,0.2725697734381719
fragile-fast,0.15,1.6,0.7,4.92,6.067083447290444e-08,0.08718482119943094,2.965980923092849e-07,0.12241987725123468,1.7309969357415592e-06,0.1500569132379353,1.2118002966031088e-08,3.0378845962758983e-06,0.28293804855404586
fragile-fast,0.15,1.6,0.7,4.96,7.530435326246234e-08,0.09232170735066102,3.6583796973894725e-07,0.12842215378075209,2.117503463138687e-06,0.15534009447445887,1.5130177096529583e-08,3.719396473101624e-06,0.29349194263457407
fragile-fast,0.15,1.6,0.7,5.0,9.332587759304213e-08,0.09770713765305024,4.5053810826449475e-07,0.13463575755973045,2.586133947848619e-06,0.1606878332290464,1.8863212200251267e-08,4.546516869935979e-06,0.3042230949753187
fragile-fast,0.15,1.6,0.7,5.04,1.1548521624017971e-07,0.10334966848860593,5.539834661784395e-07,0.1410632708888923,3.153383672704845e-06,0.16609390541434607,2.3482620849858454e-08,5.548687518892839e-06,0.31512245121667415
fragile-fast,0.15,1.6,0.7,5.08,1.4268996876364505e-07,0.10925794957282457,6.801188130866333e-07,0.14770702710546615,3.838852104452841e-06,0.17155170835252662,2.9190219600404256e-08,6.760936505048834e-06,0.32618026419594015
fragile-fast,0.15,1.6,0.7,5.12,1.7603688465423491e-07,0.11544071339040726,8.336728972647469e-07,0.1545690954395672,4.665783281818315e-06,0.17705426619619039,3.623169498657365e-08,8.224861163648862e-06,0.33738609733619546
fragile-fast,0.15,1.6,0.7,5.16,2.1684905379573408e-07,0.12190676403390385,1.0203042285374796e-06,0.1616512660874148,5.6616915382251455e-06,0.18259423693312274,4.490565713840301e-08,9.989768474932203e-06,0.3487288306481185
fragile-fast,0.15,1.6,0.7,5.2,2.667199293983935e-07,0.12866496545649345,1.2467718900664853e-06,0.16895503556473973,6.859084375433366e-06,0.18816392100172213,5.557445431433875e-08,1.2113995253138318e-05,0.36019666941037903
fragile-fast,0.15,1.6,0.7,5.24,3.2756534000174626e-07,0.13572422915268578,1.52113526508382e-06,0.17648159240480862,8.296295640231085e-06,0.1937552715366215,6.86770679144086e-08,1.4666433049930155e-05,0.37177715558294744
fragile-fast,0.15,1.6,0.7,5.28,4.016848236294688e-07,0.14309350128333673,1.8529870906930634e-06,0.18423180326627348,1.0018443590572294e-05,0.19935990625630498,8.474446085958735e-08,1.7728285532030288e-05,0.3834571819956955
fragile-fast,0.15,1.6,0.7,5.32,4.918338170021071e-07,0.15078174926399776,2.2537248343159554e-06,0.19220619951652568,1.2078529967949e-05,0.20496912099646883,1.0441781353967162e-07,2.1395089149741677e-05,0.39522300934204263
fragile-fast,0.15,1.6,0.7,5.36,6.013084583234637e-07,0.15879794783825313,2.736866033033915e-06,0.20040496435638444,1.4538697814807527e-05,0.21057390488451344,1.2847015187261017e-07,2.577903118513925e-05,0.4070602859941852
fragile-fast,0.15,1.6,0.7,5.4,7.340450161485123e-07,0.16715106466032373,3.318413945626216e-06,0.20882792055176497,1.747166748229767e-05,0.21616495714193779,1.5783195251855068e-07,3.101160274976314e-05,0.4189540706427263
fragile-fast,0.15,1.6,0.7,5.44,8.947362419452373e-07,0.17585004541382143,4.017280644918123e-06,0.21747451883744248,2.0962372054324937e-05,0.22173270549257254,1.9362140219636017e-07,3.7246627980307826e-05,0.43088885774934194
fragile-fast,0.15,1.6,0.7,5.48,1.0889672630288821e-06,0.18490379849610725,4.8557755270911204e-06,0.2263438270571454,2.510981525497382e-05,0.22726732614558878,2.3718009271751544e-07,4.466371453995078e-05,0.4428486057865745
fragile-fast,0.15,1.6,0.7,5.5200000000000005,1.323373988520485e-06,0.194321179300226,5.860168137290073e-06,0.23543452010296895,3.0029176790075973e-05,0.23275876531311265,2.9011505225833484e-07,5.347217454874509e-05,0.4548167682240137
fragile-fast,0.15,1.6,0.7,5.5600000000000005,1.6058273968762096e-06,0.20411097412884574,7.061335208893113e-06,0.24474487071549345,3.585419197772091e-05,0.2381967622131099,3.5434814813338323e-07,6.391546920745485e-05,0.466776327205097
fragile-fast,0.15,1.6,0.7,5.6000000000000005,1.945647512396288e-06,0.21428188377700647,8.49550288800195e-06,0.2542727412040178,4.2739834419551994e-05,0.2435708734990365,4.3217404862923473e-07,7.627623460528085e-05,0.47870982984362087
fragile-fast,0.15,1.6,0.7,5.64,2.353851362987649e-06,0.22484250682276563,1.020509626478403e-05,0.2640155761439793,5.086533232200971e-05,0.2488704990486483,5.263281031487407e-07,9.0881950463552e-05,0.4905994270539115
fragile-fast,0.15,1.6,0.7,5.68,2.8434397452942256e-06,0.23580132266700263,1.2239709557664417e-05,0.2739703961059252,6.043755085557546e-05,0.25408490903537106,6.400656929605097e-07,0.00010811131780458005,0.5024269148135402
fragile-fast,0.15,1.6,0.7,5.72,3.429728208969723e-06,0.24716667436569623,1.4657211591887436e-05,0.28413379246734005,7.169477459547047e-05,0.25920327219682304,7.772548213192987e-07,0.00012840141567604368,0.5141737777425904
